row_index,BX,BY,EX,EY,mode,start_obstime,end_obstime,time_source,time_delta_days,conversion_ok,accepted,reject_reason,effective_b0_deg,effective_b0_source,start_radius_fraction,end_radius_fraction,latitude_deg,delta_lat_deg,cmd_start_deg,cmd_end_deg,abs_cmd_deg,synodic_delta_lon_deg,carrington_delta_lon_deg,synodic_rate_deg_per_day,sidereal_rate_deg_per_day,sidereal_rate_nhz,sidereal_period_days
54,1052.0,414.0,1248.0,421.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.678491427568507,0.7147346913452192,35.34685121060592,-0.2314328278592015,2.1890492813263602,17.74013953396501,17.74013953396501,15.551090252638659,2.352340421617175,15.551090252638659,16.536737584737743,531.6595159702207,21.76971111473976
55,1013.0,1041.0,1218.0,1078.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.02249828525701843,0.22375030174474447,-9.388093376363003,-2.1856721064342555,-0.7077037406607517,12.662813681932956,12.662813681932956,13.370517422593707,0.1717675915722232,13.370517422593707,14.356164754692792,461.55365080673846,25.076335229596886
56,1010.0,313.0,1152.0,320.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7901531340877171,0.7950463919999252,44.6952563568859,-0.5575595890706353,-1.2599736045148449,11.485216570032275,11.485216570032275,12.745190174547133,-0.4535596564743507,12.745190174547133,13.730837506646218,441.44925111388307,26.21835702488993
57,996.0,330.0,1147.0,319.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.771738457583643,0.7951659505341566,43.87717383310434,1.2587481182126936,-2.447946789022043,11.048074548490082,11.048074548490082,13.496021337512133,0.2972715064906488,13.496021337512133,14.481668669611217,465.58862749521666,24.85901370989347
58,989.0,1169.0,1181.0,1181.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.1657381543352922,0.24670169921397325,-16.810817484718328,-0.6633814359748733,-2.324253463889642,10.518587754643614,10.518587754643614,12.842841218533266,-0.3559086124882178,12.842841218533266,13.82848855063235,444.5887522708446,26.03321387452267
59,938.0,930.0,1145.0,973.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.14156096274340432,0.1458986626158253,-2.542308193541652,-2.7141909833930518,-5.484473241804977,7.744534345259274,7.744534345259274,13.229007587064245,0.030257756042761486,13.229007587064245,14.21465491916333,457.0040804772162,25.325975343563915
60,921.0,1279.0,1097.0,1284.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.3055737368328229,0.3000596648487361,-23.7983661703529,-0.3589138910297187,-7.175437794213784,5.092957810958615,7.175437794213784,12.268395605172401,-0.9303542258490829,12.268395605172401,13.254042937271485,426.12020760260697,27.161523597275337
61,897.0,515.0,1092.0,515.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.5828940144646928,0.5705801682454988,27.290651885713935,-0.07038030566486597,-9.139312278974613,4.875559705836708,9.139312278974613,14.014871984811322,0.8161221537898378,14.014871984811322,15.000519316910406,482.26978256527804,23.999169121709294
62,815.0,378.0,1051.0,362.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7544084429309047,0.7361670838258404,39.586516012319315,1.1208735363810831,-17.393010163708347,2.249254362301676,17.393010163708347,19.642264526010024,6.44351469498854,19.642264526010024,20.62791185810911,663.1916106645161,17.452081552233274
63,741.0,763.0,935.0,766.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4277561322084995,0.3032437800243507,9.757389725055937,-0.5500970888694514,-18.622240829320784,-5.754072512051986,18.622240829320784,12.868168317268783,-0.3305815137527013,12.868168317268783,13.853815649367867,445.4030237065287,25.985620792956514
64,728.0,1232.0,917.0,1283.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4019704552744894,0.31136894078239497,-22.008306973582766,-3.7436740008760125,-20.505721969336193,-7.470706430315592,20.505721969336193,13.035015539020606,-0.1637342920008784,13.035015539020606,14.02066287111969,450.7671962165539,25.676389433879198
65,639.0,320.0,777.0,311.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8915522598809144,0.8384126683615508,45.91736065220489,-0.13557015996013178,-37.99880483439672,-23.204149202670298,37.99880483439672,14.794655631726414,1.59590580070493,14.794655631726414,15.780302963825498,507.3399872629083,22.813250216124363
